month,crossingType,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Mar,Truck Containers Loaded,,216,37,1293,526,-1546,577,-789,253,-289,138,-296,-672,-475,235,222,179,-266,-142,260,90,-510,-86,-37,24,184,96,-188,385,126
Mar,Trucks,,-64,139,1364,430,-1643,580,-773,178,-244,25,-134,-723,-381,142,368,185,-287,-235,201,-2,-97,-21,-118,100,98,-91,-28,-70,-32
Apr,Bus Passengers,,-36,-234,-311,89,131,-295,577,8,-392,98,-301,-21,1,63,-57,20,97,-105,-68,126,-41,1,-102,,,,,,
Apr,Buses,,-1,8,-30,4,6,-8,6,18,-23,3,-6,-3,-3,2,-2,0,5,-5,-1,3,-1,1,-4,,,,,,
Apr,Pedestrians,,-15,39,-18,-44,18,93,-69,82,10,-29,-86,-33,-7,3,-2,-1,11,4,-1,-19,-1,3,-5,4,24,-26,-4,,
Apr,Personal Vehicle Passengers,,-2572,1756,724,1099,-5726,559,-1627,2389,3620,4590,-10873,180,2344,5426,649,641,-1093,3051,-2329,-2764,-14,-716,1056,-17610,136,11142,2290,444,-3978
Apr,Personal Vehicles,,-921,651,222,278,-1068,-645,-571,838,115,647,11,90,1172,1831,4021,-72,953,2435,-2486,478,-792,-4499,422,-8994,70,5613,1154,410,-2019
Apr,Rail Containers Empty,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
Apr,Rail Containers Loaded,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
Apr,Total,,-4089,2642,1674,1630,-7145,1584,-4220,3044,3255,5185,-11335,-692,2127,8125,5099,761,-233,5107,-4887,-1901,-207,-6152,1202,-27089,1010,16243,3411,1520,-6301
Apr,Train Passengers,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
Apr,Trains,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
Apr,Truck Containers Empty,,-159,158,-83,-9,-73,-11,-26,-15,5,11,-11,50,32,4,186,-65,-92,-11,-49,-37,435,-55,-19,-197,117,-102,56,-39,-88
Apr,Truck Containers Loaded,,-121,111,636,104,-180,952,-1243,-130,-41,-75,51,-503,-796,379,122,141,-5,-144,53,198,353,-938,-53,-45,261,-130,-72,603,-75
Apr,Trucks,,-264,153,534,109,-253,939,-1267,-146,-39,-60,-120,-452,-616,417,182,97,-109,-118,-6,114,-146,51,-93,-247,402,-254,-13,102,-141
May,Bus Passengers,,121,-255,-479,-84,142,-42,-232,-16,-50,109,-24,-31,-12,-93,-69,60,110,-84,267,-377,-20,-1,161,-189,,,58,-7,-88
May,Buses,,5,1,-30,-3,9,-6,-4,-5,0,4,-2,6,-7,-5,1,0,8,4,-2,-13,-2,1,3,-5,,,,0,-3
May,Pedestrians,,-12,-42,-30,60,-23,1,12,88,-21,-49,-74,-10,-11,4,2,-15,28,-21,33,-43,15,-16,1,-2,3,-6,,,
May,Personal Vehicle Passengers,,-662,2151,-3419,2239,-8199,4056,-1136,-1692,1319,9261,-12849,5235,742,4351,293,1535,6241,92,-2303,-6091,-646,3451,402,-26486,148,12695,5705,3583,-6514
May,Personal Vehicles,,-279,656,-1113,693,-482,-870,-370,-154,570,705,125,2436,369,1097,4454,1496,3563,1390,-1767,-2954,-554,-3032,-253,-12867,97,6399,2735,1431,-2908
May,Rail Containers Empty,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
May,Rail Containers Loaded,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
May,Total,,-986,2461,-3864,3266,-8869,4637,-4179,-1676,1463,10430,-13017,6170,339,5755,5091,3578,9998,960,-3910,-9551,-538,-322,-49,-39979,1220,18634,8744,5152,-10654
May,Train Passengers,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
May,Trains,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
May,Truck Containers Empty,,-77,48,30,1,-8,103,-187,11,-20,-2,10,45,-6,59,128,-13,-92,0,-78,-5,459,-117,26,-189,124,-81,104,-178,-35
May,Truck Containers Loaded,,-49,-73,574,184,-152,713,-1098,43,-169,208,-78,-806,-369,166,72,285,113,-236,42,-17,297,-724,-202,-27,374,-179,14,489,-1020
May,Trucks,,-33,-25,603,176,-156,682,-1164,49,-166,194,-125,-705,-367,176,210,230,27,-185,-102,-51,-87,116,-187,-214,474,-231,125,-166,-86
Jun,Bus Passengers,,-1734,-187,-159,20,67,-229,-138,-5,150,-27,-71,190,-136,-205,234,-33,-16,23,-66,85,-116,-82,166,-195,,,109,-156,25
Jun,Buses,,-37,-3,-9,-2,8,-13,-5,0,9,0,-7,8,-6,-8,11,-3,0,-2,2,2,-4,-4,8,-10,,,1,-4,1
Jun,Pedestrians,,61,-67,51,-15,-12,-26,54,-17,1,-15,-15,31,-5,-69,49,23,123,-63,253,-103,-188,81,-37,-138,,-2,-1,,
Jun,Personal Vehicle Passengers,,-11122,1597,-2644,3038,-9020,4229,-415,-2119,-14590,27357,-14205,4646,-961,-21653,28150,4536,2477,1472,-5399,-501,1914,2693,-1222,-33582,-30,18375,8881,1467,-6020
Jun,Personal Vehicles,,-3685,366,-930,976,-432,-1180,-139,-38,566,890,371,2319,-1465,2075,6813,2359,2547,1798,-1954,-934,444,-5671,-501,-16358,-21,8838,4299,547,-2925
Jun,Rail Containers Empty,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
Jun,Rail Containers Loaded,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
Jun,Total,,-16870,1545,-2229,3617,-9841,2787,-1357,-1473,-14474,28159,-14197,6142,-2869,-18849,34746,7323,4508,3205,-7221,-1461,1638,-2705,-1881,-50278,686,26875,13224,2357,-9145
Jun,Train Passengers,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
Jun,Trains,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
Jun,Truck Containers Empty,,-85,62,17,-9,-41,-16,78,-122,5,-1,2,49,95,-4,47,84,-147,62,-125,-15,320,-11,15,-103,281,-352,218,-33,-155
Jun,Truck Containers Loaded,,165,-147,726,-202,-185,19,-436,478,-311,-24,-137,-600,-195,530,-336,181,-195,-154,222,11,-591,149,-155,99,94,226,-361,515,49
Jun,Trucks,,-433,-76,719,-189,-226,3,-356,350,-304,-21,-135,-501,-196,485,-222,176,-281,69,-154,-6,-141,140,-155,9,359,-323,78,21,-120
Jul,Bus Passengers,,-145,-64,265,-400,91,-40,164,-258,52,342,-454,110,-426,-77,-92,253,-78,-15,17,-28,-9,107,-279,-86,,,148,-273,103
Jul,Buses,,-1,-2,6,-10,2,-4,2,-5,3,65,-68,0,-7,-1,-5,9,-1,9,-14,0,-2,6,-11,-4,,,3,-5,4
Jul,Pedestrians,,14,-23,14,86,-59,-56,88,-60,26,-28,-26,47,-2,-9,-31,58,-4,-3,154,-97,-59,88,-47,-119,-3,-2,,,
