month,crossingType,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Oct,Rail Containers Empty,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
Oct,Rail Containers Loaded,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
Oct,Total People,,-190,-738,1017,27,140,-43,150,-117,-112,-353,25,-734,,133,-591,17,806,335,-144,-275
Oct,Total Vehicles,,0,1,3,-4,0,0,0,0,0,0,0,0,,,,,,,,
Oct,Train Passengers,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
Oct,Trains,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
Oct,Truck Containers Empty,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
Oct,Truck Containers Loaded,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
Oct,Trucks,,0,1,3,-4,0,0,0,0,0,0,0,0,,,,,,,,
Nov,Bus Passengers,,14,-14,0,0,0,0,0,0,0,0,0,,,,,,,,,
Nov,Buses,,1,-1,0,0,0,0,0,0,0,0,0,,,,,,,,,
Nov,Pedestrians,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,-6,
Nov,Personal Vehicle Passengers,,-54,-473,540,132,187,185,-166,56,-153,-244,-12,-21,-94,4,-383,287,129,166,-95,51
Nov,Personal Vehicles,,-3,-237,270,66,105,179,-221,42,-74,-106,82,-114,-28,11,-195,156,45,69,-19,-20
Nov,Rail Containers Empty,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
Nov,Rail Containers Loaded,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
Nov,Total People,,-43,-724,810,198,292,364,-387,98,-227,-350,70,-135,-122,15,-578,443,174,241,-120,31
Nov,Total Vehicles,,1,1,-2,0,0,0,0,0,0,1,-1,0,,,-8,,,,,
Nov,Train Passengers,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
Nov,Trains,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
Nov,Truck Containers Empty,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
Nov,Truck Containers Loaded,,0,0,0,0,0,0,0,0,0,0,0,,,,-4,,,,,
Nov,Trucks,,0,2,-2,0,0,0,0,0,0,1,-1,0,,,-4,,,,,
