month,crossingType,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Apr,Truck Containers Empty,,,,,,,,,,,,,,,,,,,,,
Apr,Truck Containers Loaded,,,,,,,,,,,,,,,,,,,,,
Apr,Trucks,,50,-100,,,,,,,,,-100,,,,,,,,,
May,Bus Passengers,,,,,,,,,,,,,,,,,,,,,
May,Buses,,,,,,,,,,,,,,,,,,,,,
May,Pedestrians,,,,-100,,,,,,,,,,,,,,,,,
May,Personal Vehicle Passengers,,38.157895,-10.952381,-100,,7.094595,39.432177,-12.782805,-100,,-26.407507,-10.200364,-100,,6.807512,-95.824176,126.315789,665.116279,44.984802,16.142558,-23.465704
May,Personal Vehicles,,19.298246,-8.333333,-100,,7.094595,82.649842,31.778929,-100,,-18.15562,14.788732,-100,,-2.252252,-93.087558,80,488.888889,47.798742,16.170213,-33.699634
May,Rail Containers Empty,,,,,,,,,,,,,,,,,,,,,
May,Rail Containers Loaded,,,,,,,,,,,,,,,,,,,,,
May,Total People,,31.368421,-9.935897,-100,,7.094595,53.838065,4.853042,-100,,-23.78774,-1.680672,-100,,3.703704,-94.940476,105.882353,597.142857,45.901639,16.151685,-26.844015
May,Total Vehicles,,,-100,,-100,,,,,,,-80,-100,,,,,,,,
May,Train Passengers,,,,,,,,,,,,,,,,,,,,,
May,Trains,,,,,,,,,,,,,,,,,,,,,
May,Truck Containers Empty,,,,,,,,,,,,,,,,,,,,,
May,Truck Containers Loaded,,,,,,,,,,,,,,,,,,,,,
May,Trucks,,,-100,,-100,,,,,,,-80,-100,,,,,,,,
Jun,Bus Passengers,,,,,,,,,,,,,,,,,,,,,
Jun,Buses,,,,,,,,,,,,,,,,,,,,,
Jun,Pedestrians,,,,,,,,,,,,,,,,,,,,,
Jun,Personal Vehicle Passengers,,17.266187,16.564417,-100,,1.423488,47.192982,-12.634088,-100,,-28.060046,-14.285714,-100,,-18.042226,-88.992974,-14.893617,835,87.967914,26.458037,-32.058493
Jun,Personal Vehicles,,13.265306,28.378378,-100,,1.423488,74.035088,-22.379032,-100,,-22.025316,6.168831,-100,,-15.686275,-83.255814,-22.222222,521.428571,91.37931,17.717718,-32.908163
Jun,Rail Containers Empty,,,,,,,,,,,,,,,,,,,,,
Jun,Rail Containers Loaded,,,,,,,,,,,,,,,,,,,,,
Jun,Total People,,15.986949,20.253165,-100,,1.423488,56.140351,-16.254682,-100,,-26.169707,-7.518797,-100,,-17.268041,-87.071651,-18.072289,705.882353,89.051095,23.648649,-32.318501
Jun,Total Vehicles,,-50,-100,,-100,,,,,,,-100,,,,,,,,,
Jun,Train Passengers,,,,,,,,,,,,,,,,,,,,,
Jun,Trains,,,,,,,,,,,,,,,,,,,,,
Jun,Truck Containers Empty,,,,,,,,,,,,,,,,,,,,,
Jun,Truck Containers Loaded,,,,,,,,,,,,,,,,,,,,,
Jun,Trucks,,-50,-100,,-100,,,,,,,-100,,,,,,,,,
