month,crossingType,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Mar,Trucks,,-4,-4,-24,63,212,-241,-34,110,-15,-85,78,-43,2,12,3,4,66,-123,30,-27,9,-8,5,6,29,-52,12,-5,-2
Apr,Bus Passengers,,12,23,-47,0,0,0,0,0,0,13,19,-32,0,0,0,0,0,0,0,0,0,,,,,,,,
Apr,Buses,,0,0,-1,0,0,0,0,0,0,1,2,-3,0,0,0,0,0,0,0,0,0,,,,,,-1,,0
Apr,Pedestrians,,-10,0,12,-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
Apr,Personal Vehicle Passengers,,-44,-180,620,-644,18,-240,-155,-2,-77,32,50,53,-85,79,-61,109,-55,-6,-98,-43,40,20,-17,-384,5,112,8,35,8
Apr,Personal Vehicles,,-86,-61,454,-434,10,-115,-55,-10,-26,38,-4,36,-43,70,-54,317,-241,23,-10,-83,41,-49,-19,-224,6,69,5,26,2
Apr,Rail Containers Empty,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
Apr,Rail Containers Loaded,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
Apr,Total People,,-128,-218,1039,-1090,28,-355,-210,-12,-103,83,65,57,-128,149,-115,426,-296,17,-108,-126,81,-29,-36,-608,11,181,13,61,11
Apr,Total Vehicles,,14,12,28,19,291,-257,-68,188,-42,-173,77,-68,12,-10,4,114,-115,-27,10,-29,79,-43,-5,-25,117,-119,-4,12,-17
Apr,Train Passengers,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
Apr,Trains,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
