year,month,crossingType,numberOfCrossings
1997,Feb,Truck Containers Loaded,813
1997,Feb,Buses,9
1997,Feb,Rail Containers Empty,0
1997,Feb,Pedestrians,0
1997,Feb,Personal Vehicle Passengers,6154
1997,Feb,Bus Passengers,309
1997,Feb,Trucks,1195
1997,Feb,Trains,0
1997,Mar,Rail Containers Empty,0
1997,Mar,Personal Vehicles,1873
1997,Mar,Trucks,1077
1997,Mar,Bus Passengers,254
1997,Mar,Buses,8
1997,Mar,Truck Containers Loaded,1079
1997,Mar,Pedestrians,0
1997,Mar,Truck Containers Empty,96
1997,Mar,Rail Containers Loaded,0
1997,Mar,Train Passengers,0
1997,Mar,Trains,0
1997,Mar,Personal Vehicle Passengers,5199
1997,Apr,Rail Containers Loaded,0
1997,Apr,Buses,31
1997,Apr,Trains,0
1997,Apr,Personal Vehicle Passengers,7930
1997,Apr,Truck Containers Loaded,1621
1997,Apr,Trucks,1883
1997,Apr,Bus Passengers,793
1997,Apr,Truck Containers Empty,89
1997,Apr,Train Passengers,0
1997,Apr,Pedestrians,0
1997,Apr,Rail Containers Empty,0
1997,Apr,Personal Vehicles,2837
1997,May,Personal Vehicles,2868
1997,May,Rail Containers Loaded,0
1997,May,Pedestrians,0
1997,May,Trucks,2411
1997,May,Bus Passengers,831
1997,May,Trains,0
1997,May,Buses,23
1997,May,Truck Containers Empty,175
1997,May,Rail Containers Empty,0
1997,May,Truck Containers Loaded,2445
1997,May,Personal Vehicle Passengers,8030
1997,May,Train Passengers,0
1997,Jun,Truck Containers Loaded,323
1997,Jun,Bus Passengers,282
1997,Jun,Truck Containers Empty,46
1997,Jun,Buses,11
1997,Jun,Train Passengers,0
1997,Jun,Rail Containers Loaded,0
1997,Jun,Trains,0
1997,Jun,Trucks,1343
1997,Jun,Personal Vehicles,4029
1997,Jun,Rail Containers Empty,0
1997,Jun,Personal Vehicle Passengers,11255
1997,Jun,Pedestrians,1
1997,Jul,Train Passengers,0
1997,Jul,Bus Passengers,216
1997,Jul,Rail Containers Loaded,0
1997,Jul,Personal Vehicles,4553
1997,Jul,Truck Containers Loaded,526
1997,Jul,Trains,0
1997,Jul,Buses,9
1997,Jul,Trucks,1173
1997,Jul,Rail Containers Empty,0
1997,Jul,Pedestrians,7
1997,Jul,Personal Vehicle Passengers,12749
1997,Jul,Truck Containers Empty,85
1997,Aug,Pedestrians,2
1997,Aug,Train Passengers,0
1997,Aug,Trains,0
1997,Aug,Trucks,1475
1997,Aug,Rail Containers Loaded,0
1997,Aug,Personal Vehicles,4750
1997,Aug,Bus Passengers,66
1997,Aug,Truck Containers Empty,192
1997,Aug,Buses,5
1997,Aug,Rail Containers Empty,0
1997,Aug,Truck Containers Loaded,1509
1997,Aug,Personal Vehicle Passengers,13380
1997,Sep,Buses,7
1997,Sep,Pedestrians,0
1997,Sep,Personal Vehicle Passengers,9406
1997,Sep,Truck Containers Loaded,1190
1997,Sep,Trains,0
1997,Sep,Train Passengers,0
1997,Sep,Rail Containers Loaded,0
1997,Sep,Rail Containers Empty,0
1997,Sep,Truck Containers Empty,99
1997,Sep,Bus Passengers,53
1997,Sep,Trucks,1490
1997,Sep,Personal Vehicles,3277
1997,Oct,Rail Containers Empty,0
1997,Oct,Truck Containers Empty,105
1997,Oct,Personal Vehicle Passengers,8868
1997,Oct,Bus Passengers,323
1997,Oct,Trains,0
1997,Oct,Train Passengers,0
1997,Oct,Rail Containers Loaded,0
1997,Oct,Trucks,1431
1997,Oct,Pedestrians,0
1997,Oct,Personal Vehicles,3165
1997,Oct,Truck Containers Loaded,1508
1997,Oct,Buses,9
1997,Nov,Trucks,1282
1997,Nov,Bus Passengers,251
1997,Nov,Buses,8
1997,Nov,Truck Containers Loaded,1110
1997,Nov,Pedestrians,0
1997,Nov,Trains,0
1997,Nov,Rail Containers Loaded,0
1997,Nov,Rail Containers Empty,0
1997,Nov,Personal Vehicles,2667
1997,Nov,Truck Containers Empty,94
1997,Nov,Personal Vehicle Passengers,7470
1997,Nov,Train Passengers,0
1997,Dec,Trains,0
1997,Dec,Bus Passengers,82
1997,Dec,Truck Containers Loaded,391
1997,Dec,Buses,4
1997,Dec,Rail Containers Loaded,0
1997,Dec,Rail Containers Empty,0
1997,Dec,Truck Containers Empty,26
1997,Dec,Trucks,1131
1997,Dec,Train Passengers,0
1997,Dec,Personal Vehicle Passengers,6515
1997,Dec,Personal Vehicles,2328
1997,Dec,Pedestrians,0
1998,Jan,Truck Containers Empty,145
1998,Jan,Truck Containers Loaded,1240
1998,Jan,Pedestrians,0
1998,Jan,Train Passengers,0
1998,Jan,Rail Containers Empty,0
1998,Jan,Rail Containers Loaded,0
1998,Jan,Buses,6
1998,Jan,Personal Vehicles,2285
1998,Jan,Bus Passengers,152
1998,Jan,Trucks,1135
1998,Jan,Trains,0
1998,Jan,Personal Vehicle Passengers,6378
1998,Feb,Trucks,1403
1998,Feb,Pedestrians,0
1998,Feb,Truck Containers Loaded,1086
1998,Feb,Buses,2
1998,Feb,Bus Passengers,18
1998,Feb,Truck Containers Empty,101
1998,Feb,Personal Vehicles,2046
1998,Feb,Rail Containers Loaded,0
1998,Feb,Personal Vehicle Passengers,5755
1998,Feb,Trains,0
1998,Feb,Rail Containers Empty,0
1998,Feb,Train Passengers,0
1998,Mar,Bus Passengers,237
1998,Mar,Truck Containers Loaded,1174
1998,Mar,Rail Containers Empty,0
1998,Mar,Buses,11
1998,Mar,Trains,0
1998,Mar,Train Passengers,0
1998,Mar,Pedestrians,0
1998,Mar,Personal Vehicles,1592
1998,Mar,Trucks,1020
1998,Mar,Rail Containers Loaded,0
1998,Mar,Truck Containers Empty,115
1998,Mar,Personal Vehicle Passengers,4459
1998,Apr,Personal Vehicle Passengers,8647
1998,Apr,Trains,0
1998,Apr,Truck Containers Loaded,1902
1998,Apr,Personal Vehicles,3085
1998,Apr,Truck Containers Empty,264
1998,Apr,Buses,22
1998,Apr,Bus Passengers,542
1998,Apr,Rail Containers Empty,0
1998,Apr,Trucks,1935
1998,Apr,Rail Containers Loaded,0
1998,Apr,Pedestrians,0
1998,Apr,Train Passengers,0
1998,May,Bus Passengers,574
1998,May,Rail Containers Loaded,0
1998,May,Train Passengers,0
1998,May,Truck Containers Empty,324
1998,May,Buses,24
1998,May,Truck Containers Loaded,1636
1998,May,Trains,0
1998,May,Rail Containers Empty,0
1998,May,Personal Vehicles,3088
1998,May,Trucks,2207
1998,May,Personal Vehicle Passengers,8646
1998,May,Pedestrians,0
1998,Jun,Personal Vehicles,3766
1998,Jun,Rail Containers Loaded,0
1998,Jun,Personal Vehicle Passengers,10545
1998,Jun,Trains,0
1998,Jun,Truck Containers Loaded,943
1998,Jun,Train Passengers,0
1998,Jun,Buses,10
1998,Jun,Pedestrians,0
1998,Jun,Rail Containers Empty,0
1998,Jun,Bus Passengers,142
1998,Jun,Truck Containers Empty,387
1998,Jun,Trucks,1391
1998,Jul,Bus Passengers,448
1998,Jul,Truck Containers Loaded,1196
1998,Jul,Personal Vehicle Passengers,11760
1998,Jul,Trains,0
1998,Jul,Truck Containers Empty,298
1998,Jul,Rail Containers Loaded,0
1998,Jul,Personal Vehicles,4200
1998,Jul,Trucks,1429
1998,Jul,Buses,25
1998,Jul,Rail Containers Empty,0
1998,Jul,Train Passengers,0
1998,Jul,Pedestrians,0
1998,Aug,Personal Vehicle Passengers,12902
1998,Aug,Truck Containers Loaded,1314
1998,Aug,Train Passengers,0
1998,Aug,Pedestrians,0
1998,Aug,Bus Passengers,167
1998,Aug,Personal Vehicles,4608
1998,Aug,Rail Containers Empty,0
1998,Aug,Trains,0
1998,Aug,Trucks,1470
1998,Aug,Rail Containers Loaded,0
1998,Aug,Buses,3
1998,Aug,Truck Containers Empty,110
1998,Sep,Bus Passengers,57
1998,Sep,Buses,5
1998,Sep,Pedestrians,0
1998,Sep,Train Passengers,0
1998,Sep,Rail Containers Empty,0
1998,Sep,Truck Containers Empty,111
1998,Sep,Trains,0
1998,Sep,Rail Containers Loaded,0
1998,Sep,Personal Vehicle Passengers,9139
1998,Sep,Truck Containers Loaded,1199
1998,Sep,Trucks,1412
1998,Sep,Personal Vehicles,3264
1998,Oct,Pedestrians,0
1998,Oct,Bus Passengers,406
1998,Oct,Train Passengers,0
1998,Oct,Truck Containers Empty,40
1998,Oct,Truck Containers Loaded,1262
