month,crossingType,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Jan,Bus Passengers,,101,-50,-60,26,144,-196,42,-69,102,-49,24,-77,106,-15,3,-14,20,-56,1,-20,29,-54,,,-48,,-1,,
Jan,Buses,,1,0,-1,1,2,-2,-1,-2,2,-1,1,-2,2,0,0,0,1,-2,0,0,0,-1,,,-1,,-1,,
Jan,Pedestrians,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,213,-213,0,,-2,,0,7,-8,,-3
Jan,Personal Vehicle Passengers,,175,-359,213,-484,-158,-58,-187,-666,709,-135,252,-963,805,396,-203,437,108,115,-90,-154,-2,-92,-27,39,-1287,419,327,-38,101
Jan,Personal Vehicles,,87,-183,96,-140,-53,-59,-66,-367,311,5,90,-217,181,193,-99,241,-15,123,-69,-58,5,-20,-36,-6,-629,208,141,14,8
Jan,Rail Containers Empty,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
Jan,Rail Containers Loaded,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
Jan,Total,,361,-570,205,-587,-1,-399,-214,-1089,1095,-188,397,-1309,1171,567,-313,778,393,-191,366,-738,478,-642,-82,74,-1974,640,500,-9,90
Jan,Train Passengers,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
Jan,Trains,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
Jan,Truck Containers Empty,,0,-2,0,6,-6,0,0,0,1,-1,0,0,0,6,-3,-1,8,-6,2,-1,8,4,-2,-7,3,4,11,17,-19
Jan,Truck Containers Loaded,,-4,16,-24,2,37,-43,0,-4,-4,-13,23,-23,0,28,-2,55,128,-177,158,-147,295,-320,-7,3,-9,-3,11,-12,14
Jan,Trucks,,1,8,-19,2,33,-41,-2,19,-26,6,7,-27,77,-41,-9,60,143,-188,151,-145,143,-161,-8,-5,-3,3,20,7,-11
Feb,Bus Passengers,,-199,-5,-3,66,-79,-109,5,122,-79,93,-51,29,-73,-61,46,-72,-55,0,0,55,-9,5,-3,2,-50,,,-46,
Feb,Buses,,-7,0,-1,4,-3,-3,0,3,-1,1,0,0,-2,-1,1,-2,-1,0,0,1,0,0,0,0,-1,,,-1,
Feb,Pedestrians,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,182,-182,0,,,-14,22,-21,2,3,-8
Feb,Personal Vehicle Passengers,,70,-209,-709,524,22,-441,-21,3,171,-105,-143,546,-253,147,-45,647,-148,161,-208,-411,235,26,-325,255,-1280,400,181,89,-57
Feb,Personal Vehicles,,38,-76,-138,48,-29,-104,-28,10,56,-10,35,109,-60,50,-66,363,-62,79,-132,-123,72,-28,-127,102,-555,200,61,64,-62
Feb,Rail Containers Empty,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
Feb,Rail Containers Loaded,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
Feb,Total,,-106,-300,-880,666,-32,-764,-52,172,130,34,-222,685,-342,169,-93,915,74,-27,85,-969,724,-442,-451,371,-1887,589,300,108,-134
Feb,Train Passengers,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
Feb,Trains,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
Feb,Truck Containers Empty,,-1,-1,-1,6,-5,-1,0,2,-2,5,-5,0,1,5,-3,1,2,1,-1,-5,9,6,-6,2,0,-1,4,8,-7
Feb,Truck Containers Loaded,,-6,-5,-13,6,34,-53,-4,15,-7,23,-41,0,23,26,-11,-12,164,-132,116,-142,282,-306,1,15,-16,9,-1,-9,4
Feb,Trucks,,-1,-4,-15,12,28,-53,-4,17,-8,27,-17,1,22,3,-15,-10,174,-136,128,-162,135,-145,-7,9,-7,2,6,0,-4
Mar,Bus Passengers,,103,29,-132,38,63,43,-69,110,-83,38,-53,-87,54,-53,-1,35,-35,66,-16,-32,-18,75,-75,,,,,,-19
Mar,Buses,,3,1,-4,1,2,1,-2,2,-2,1,-1,-2,1,1,-2,1,-1,2,-1,0,-1,2,-2,,,,,,-1
