month,crossingType,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Mar,Truck Containers Loaded,,-10,19,19,-4,79,-81,-19,25,-33,20,26,-65,-16,10,20,-12,11,-7,-66,0,109,9,37,7,-78,67,-37,143,20
Mar,Trucks,,6,-1,16,8,88,-101,6,26,-46,27,20,-50,-38,53,31,-10,30,-46,9,27,-5,-16,54,-16,-57,28,-8,22,45
Apr,Bus Passengers,,-193,236,19,-159,271,-225,-54,-88,45,-23,-2,27,-47,0,45,-45,0,0,0,0,0,,,,,,,,
Apr,Buses,,-6,1,19,-12,0,-4,-1,-3,1,1,-1,1,-2,0,1,-1,0,0,0,0,0,,,,,,,,
Apr,Pedestrians,,0,1,-1,0,13,6,18,7,-34,-10,3,-3,0,0,0,0,0,0,0,0,0,,,,,,,,-58
Apr,Personal Vehicle Passengers,,803,1547,8243,-1788,-7899,-315,3426,-957,-2277,813,-33,-309,-3168,2133,769,-358,-1631,2257,-475,-1014,-444,-1280,2191,-9691,840,4068,915,1791,-337
Apr,Personal Vehicles,,-233,501,2764,-596,-2633,-105,1142,-319,-759,271,-11,-103,54,1016,300,142,-445,705,-154,-308,-3047,1903,834,-4491,498,1781,337,976,-260
Apr,Rail Containers Empty,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
Apr,Rail Containers Loaded,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
Apr,Total People,,377,2285,11025,-2543,-10248,-639,4532,-1357,-3025,1051,-43,-388,-3161,3149,1114,-261,-2076,2962,-629,-1322,-3491,623,3025,-14182,1338,5849,1252,3062,-655
Apr,Total Vehicles,,41,-31,-19,83,56,-164,4,8,2,8,-67,1,-101,43,-9,174,11,-24,-153,-64,159,92,-114,78,-90,-21,50,40,122
Apr,Train Passengers,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
