month,crossingType,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Mar,Total,,-8.737864,-100,,,-7.267442,-32.915361,38.785047,-31.986532,3.960396,-19.047619,91.764706,-40.490798,-27.319588,-8.510638,-5.426357,47.540984,-27.777778,166.153846,-13.583815,-32.441472,-7.920792,-52.150538,121.348315,-65.482234,-36.764706,111.627907,-7.692308,9.52381,-1.086957
Mar,Train Passengers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mar,Trains,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mar,Truck Containers Empty,,,,,,,,,,20,-100,,-100,,-100,,-100,,-100,,,-100,,,,,-100,,,-50
Mar,Truck Containers Loaded,,,,,,120,-56.060606,124.137931,-87.692308,50,-100,,-77.777778,10,-27.272727,0,-25,16.666667,1614.285714,-10,-90.740741,0,-70,-100,,,,,,
Mar,Trucks,,42.857143,-100,,,100,-41.666667,85.714286,-56.923077,21.428571,58.823529,55.555556,-86.904762,0,-45.454545,0,-33.333333,75,1585.714286,-10.169492,-90.566038,-30,-57.142857,-100,,,-100,,,-50
Apr,Bus Passengers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apr,Buses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apr,Pedestrians,,,,,,,,,,,100,-100,,,,,,,,,,,,,,,-50,0,-100,
Apr,Personal Vehicle Passengers,,-8.333333,-100,,,1.388889,13.013699,-26.060606,-31.147541,28.571429,65.740741,-43.575419,-1.980198,20.20202,-7.563025,25.454545,-42.753623,44.303797,-23.684211,6.896552,-54.83871,107.142857,-21.83908,-26.470588,-82,-33.333333,733.333333,40,51.428571,-53.773585
Apr,Personal Vehicles,,-22.580645,-100,,,11.594203,9.090909,-21.428571,-30.30303,19.565217,-12.727273,20.833333,-6.896552,-7.407407,14,0,-49.122807,48.275862,-2.325581,26.190476,-50.943396,88.461538,-28.571429,-20,-75,-57.142857,1133.333333,-5.405405,71.428571,-61.666667
Apr,Rail Containers Empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apr,Rail Containers Loaded,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apr,Total,,-8.06846,-100,,,13.432836,7.565789,-13.149847,-22.535211,20,28.787879,-13.235294,-38.305085,3.296703,-5.851064,20.903955,-42.990654,43.442623,61.714286,20.141343,-67.058824,28.571429,-17.361111,-34.453782,-79.487179,381.25,14.285714,20.454545,81.132075,-59.375
Apr,Train Passengers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apr,Trains,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apr,Truck Containers Empty,,,,,,-100,,,,15.151515,-18.421053,0,-100,,,,0,-100,,,,-100,,-100,,,-100,,,-76.923077
Apr,Truck Containers Loaded,,,,,,37.037037,5.405405,23.076923,-75,-8.333333,109.090909,52.173913,-57.142857,-40,-44.444444,100,-20,37.5,609.090909,24.358974,-84.536082,-73.333333,50,-100,,,,,,
Apr,Trucks,,80.952381,-100,,,69.230769,-11.363636,23.076923,-6.25,13.333333,11.764706,22.807018,-80,-28.571429,-50,60,-37.5,40,985.714286,27.631579,-85.56701,-71.428571,100,-100,,,-100,,,-76.923077
May,Bus Passengers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,Buses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,Pedestrians,,,,,,,,,,,50,-100,,,,,,,,,,,,,,,-66.666667,0,-100,
May,Personal Vehicle Passengers,,-40.510949,-100,,,-32.48731,-40.601504,35.443038,-25.233645,62.5,139.230769,-57.55627,-7.575758,21.311475,-14.864865,-15.079365,28.971963,-13.043478,-8.333333,-2.727273,-28.037383,31.168831,-18.811881,25.609756,-88.349515,33.333333,193.75,127.659574,-33.64486,28.169014
May,Personal Vehicles,,-3.658537,-100,,,-27.173913,-26.865672,-4.081633,-17.021277,58.974359,56.451613,-41.237113,-10.526316,17.647059,-16.666667,-6,38.297872,-23.076923,8,-1.851852,-15.09434,0,-20,19.444444,-86.046512,66.666667,170,88.888889,-27.45098,0
May,Rail Containers Empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,Rail Containers Loaded,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,Total,,-19.788918,-100,,,-25.568182,-32.824427,35.795455,-20.920502,54.497354,67.808219,-41.22449,-34.375,20.10582,-18.942731,-10.326087,49.69697,-27.935223,88.202247,-43.283582,-16.315789,-0.628931,-24.050633,23.333333,-87.837838,61.111111,165.517241,106.493506,-30.81761,16.363636
May,Train Passengers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,Trains,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
