month,crossingType,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Mar,Train Passengers,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
Mar,Trains,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
Mar,Truck Containers Empty,,0,0,0,0,0,0,0,20,4,-24,36,-36,1,-1,1,-1,1,-1,0,16,-16,0,,,,-11,,,-1
Mar,Truck Containers Loaded,,0,0,0,30,36,-37,36,-57,4,-12,45,-35,1,-3,0,-2,1,113,-12,-98,0,-7,-3,,,,,,
Mar,Trucks,,9,-30,0,30,30,-25,30,-37,6,20,30,-73,0,-5,0,-2,3,111,-12,-96,-3,-4,-3,,,-11,,,-1
Apr,Bus Passengers,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
Apr,Buses,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
Apr,Pedestrians,,0,0,0,0,0,0,0,0,1,1,-2,0,0,0,0,0,0,0,0,0,0,,,,,-1,0,-1,
Apr,Personal Vehicle Passengers,,-22,-242,0,144,2,19,-43,-38,24,71,-78,-2,20,-9,28,-59,35,-27,6,-51,45,-19,-18,-41,-3,44,20,36,-57
Apr,Personal Vehicles,,-28,-96,0,69,8,7,-18,-20,9,-7,10,-4,-4,7,0,-28,14,-1,11,-27,23,-14,-7,-21,-4,34,-2,25,-37
Apr,Rail Containers Empty,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
Apr,Rail Containers Loaded,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
Apr,Total People,,-50,-338,0,213,10,26,-61,-58,34,65,-70,-6,16,-2,28,-87,49,-28,17,-78,68,-33,-25,-62,-5,77,18,60,-94
Apr,Total Vehicles,,17,-38,0,55,26,-3,18,-6,10,11,25,-107,-10,-9,9,-5,4,136,40,-150,-36,8,-16,,,-66,,,-20
Apr,Train Passengers,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
Apr,Trains,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
Apr,Truck Containers Empty,,0,0,0,2,-2,0,0,33,5,-7,0,-31,0,0,1,0,-1,0,0,15,-15,,-2,,,-32,,,-10
Apr,Truck Containers Loaded,,0,0,0,27,10,2,9,-36,-1,12,12,-20,-6,-4,5,-2,3,67,19,-82,-11,2,-6,,,,,,
Apr,Trucks,,17,-38,0,26,18,-5,9,-3,6,6,13,-56,-4,-5,3,-3,2,69,21,-83,-10,4,-8,,,-34,,,-10
May,Bus Passengers,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
May,Buses,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
May,Pedestrians,,0,0,0,0,0,0,0,0,2,1,-3,0,0,0,0,0,0,0,0,0,0,,,,,-2,0,-1,
May,Personal Vehicle Passengers,,-111,-163,0,197,-64,-54,28,-27,50,181,-179,-10,26,-22,-19,31,-18,-10,-3,-30,24,-19,21,-91,4,31,60,-36,20
May,Personal Vehicles,,-3,-79,0,92,-25,-18,-2,-8,23,35,-40,-6,9,-10,-3,18,-15,4,-1,-8,0,-9,7,-37,4,17,24,-14,0
May,Rail Containers Empty,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
May,Rail Containers Loaded,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
May,Total People,,-114,-242,0,289,-89,-72,26,-35,75,217,-222,-16,35,-32,-22,49,-33,-6,-4,-38,24,-28,28,-128,11,46,84,-51,20
May,Total Vehicles,,39,-62,0,63,-1,-14,37,-15,28,-19,20,-83,3,-11,3,33,-36,163,-141,7,-25,-10,0,-2,,,-2,,-2
May,Train Passengers,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
May,Trains,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
