port,year,count,changeYoY,pctChangeYoY
All Ports,1996,23408,,
All Ports,1997,26651,3243,14
All Ports,1998,27812,1161,4
All Ports,1999,24899,-2913,-10
All Ports,2000,37696,12797,51
All Ports,2001,31966,-5730,-15
All Ports,2002,28661,-3305,-10
All Ports,2003,22884,-5777,-20
All Ports,2004,19815,-3069,-13
All Ports,2005,21409,1594,8
All Ports,2006,28414,7005,33
All Ports,2007,30969,2555,9
All Ports,2008,36659,5690,18
All Ports,2009,33804,-2855,-8
All Ports,2010,36272,2468,7
All Ports,2011,49190,12918,36
All Ports,2012,68169,18979,39
All Ports,2013,66322,-1847,-3
All Ports,2014,58488,-7834,-12
All Ports,2015,43740,-14748,-25
All Ports,2016,37360,-6380,-15
All Ports,2017,41568,4208,11
All Ports,2018,39416,-2152,-5
All Ports,2019,40778,1362,3
All Ports,2020,45268,4490,11
All Ports,2021,50626,5358,12
All Ports,2022,43117,-7509,-15
All Ports,2023,43800,683,2
All Ports,2024,50516,6716,15
All Ports,2025,42117,-8399,-17
