year,month,crossingType,numberOfCrossings
2004,Apr,Buses,2
2004,Apr,Rail Containers Empty,0
2004,Apr,Rail Containers Loaded,0
2004,Apr,Bus Passengers,44
2004,Apr,Personal Vehicle Passengers,2124
2004,Apr,Trains,0
2004,Apr,Trucks,156
2004,May,Truck Containers Empty,2
2004,May,Rail Containers Loaded,0
2004,May,Pedestrians,0
2004,May,Buses,2
2004,May,Trains,0
2004,May,Personal Vehicle Passengers,2124
2004,May,Rail Containers Empty,0
2004,May,Personal Vehicles,668
2004,May,Train Passengers,0
2004,May,Trucks,156
2004,May,Truck Containers Loaded,46
2004,May,Bus Passengers,44
2004,Jun,Personal Vehicle Passengers,3977
2004,Jun,Rail Containers Loaded,0
2004,Jun,Personal Vehicles,1162
2004,Jun,Pedestrians,0
2004,Jun,Bus Passengers,0
2004,Jun,Truck Containers Empty,3
2004,Jun,Buses,0
2004,Jun,Trains,0
2004,Jun,Trucks,96
2004,Jun,Truck Containers Loaded,92
2004,Jun,Train Passengers,0
2004,Jun,Rail Containers Empty,0
2004,Jul,Rail Containers Loaded,0
2004,Jul,Trains,0
2004,Jul,Rail Containers Empty,0
2004,Jul,Truck Containers Empty,8
2004,Jul,Personal Vehicles,1712
2004,Jul,Personal Vehicle Passengers,6013
2004,Jul,Trucks,365
2004,Jul,Bus Passengers,124
2004,Jul,Buses,6
2004,Jul,Truck Containers Loaded,359
2004,Jul,Pedestrians,0
2004,Jul,Train Passengers,0
2004,Aug,Buses,1
2004,Aug,Truck Containers Empty,1
2004,Aug,Trucks,332
2004,Aug,Truck Containers Loaded,229
2004,Aug,Trains,0
2004,Aug,Rail Containers Empty,0
2004,Aug,Rail Containers Loaded,0
2004,Aug,Bus Passengers,53
2004,Aug,Train Passengers,0
2004,Aug,Personal Vehicle Passengers,5215
2004,Aug,Personal Vehicles,1929
2004,Aug,Pedestrians,0
2004,Sep,Trains,0
2004,Sep,Personal Vehicle Passengers,0
2004,Sep,Trucks,223
2004,Sep,Bus Passengers,0
2004,Sep,Buses,0
2004,Sep,Personal Vehicles,983
2004,Sep,Pedestrians,0
2004,Sep,Rail Containers Loaded,0
2004,Sep,Truck Containers Loaded,248
2004,Sep,Rail Containers Empty,0
2004,Sep,Truck Containers Empty,3
2004,Sep,Train Passengers,0
2004,Oct,Personal Vehicles,971
2004,Oct,Bus Passengers,0
2004,Oct,Pedestrians,0
2004,Oct,Truck Containers Empty,2
2004,Oct,Truck Containers Loaded,243
2004,Oct,Rail Containers Loaded,0
2004,Oct,Trucks,235
2004,Oct,Train Passengers,0
2004,Oct,Buses,0
2004,Oct,Trains,0
2004,Oct,Personal Vehicle Passengers,3027
2004,Oct,Rail Containers Empty,0
2004,Nov,Rail Containers Empty,0
2004,Nov,Train Passengers,0
2004,Nov,Personal Vehicle Passengers,2669
2004,Nov,Rail Containers Loaded,0
2004,Nov,Trains,0
2004,Nov,Pedestrians,0
2004,Nov,Truck Containers Empty,0
2004,Nov,Bus Passengers,0
2004,Nov,Buses,0
2004,Nov,Trucks,120
2004,Nov,Personal Vehicles,915
2004,Nov,Truck Containers Loaded,121
2004,Dec,Train Passengers,0
2004,Dec,Personal Vehicle Passengers,2062
2004,Dec,Pedestrians,1
2004,Dec,Rail Containers Loaded,0
2004,Dec,Trucks,204
2004,Dec,Buses,2
2004,Dec,Trains,0
2004,Dec,Truck Containers Loaded,196
2004,Dec,Bus Passengers,52
2004,Dec,Personal Vehicles,702
2004,Dec,Truck Containers Empty,10
2004,Dec,Rail Containers Empty,0
2005,Jan,Buses,1
2005,Jan,Truck Containers Empty,4
2005,Jan,Personal Vehicles,518
2005,Jan,Truck Containers Loaded,286
2005,Jan,Personal Vehicle Passengers,1629
2005,Jan,Train Passengers,0
2005,Jan,Bus Passengers,30
2005,Jan,Rail Containers Empty,0
2005,Jan,Pedestrians,0
2005,Jan,Trains,0
2005,Jan,Rail Containers Loaded,0
2005,Jan,Trucks,282
2005,Feb,Truck Containers Empty,8
2005,Feb,Trains,0
2005,Feb,Buses,2
2005,Feb,Rail Containers Empty,0
2005,Feb,Truck Containers Loaded,214
2005,Feb,Bus Passengers,92
2005,Feb,Personal Vehicle Passengers,1865
2005,Feb,Rail Containers Loaded,0
2005,Feb,Train Passengers,0
2005,Feb,Pedestrians,0
2005,Feb,Trucks,227
2005,Feb,Personal Vehicles,608
2005,Mar,Personal Vehicle Passengers,2096
2005,Mar,Truck Containers Loaded,184
2005,Mar,Bus Passengers,0
2005,Mar,Personal Vehicles,616
2005,Mar,Buses,0
2005,Mar,Truck Containers Empty,24
2005,Mar,Pedestrians,0
2005,Mar,Trains,0
2005,Mar,Train Passengers,0
2005,Mar,Trucks,213
2005,Mar,Rail Containers Loaded,0
2005,Mar,Rail Containers Empty,0
2005,Apr,Trucks,299
2005,Apr,Pedestrians,0
2005,Apr,Bus Passengers,0
2005,Apr,Personal Vehicles,439
2005,Apr,Rail Containers Empty,0
2005,Apr,Train Passengers,0
2005,Apr,Truck Containers Empty,18
2005,Apr,Personal Vehicle Passengers,1756
2005,Apr,Rail Containers Loaded,0
2005,Apr,Truck Containers Loaded,280
2005,Apr,Buses,0
2005,Apr,Trains,0
2005,May,Truck Containers Empty,50
2005,May,Personal Vehicle Passengers,2492
2005,May,Trucks,276
2005,May,Personal Vehicles,623
2005,May,Trains,0
2005,May,Train Passengers,0
2005,May,Rail Containers Empty,0
2005,May,Bus Passengers,0
2005,May,Pedestrians,0
2005,May,Truck Containers Loaded,215
2005,May,Rail Containers Loaded,0
2005,May,Buses,0
2005,Jun,Buses,1
2005,Jun,Trucks,57
2005,Jun,Truck Containers Loaded,35
2005,Jun,Truck Containers Empty,20
2005,Jun,Rail Containers Empty,0
2005,Jun,Pedestrians,0
2005,Jun,Trains,0
2005,Jun,Rail Containers Loaded,0
2005,Jun,Bus Passengers,25
2005,Jun,Train Passengers,0
2005,Jun,Personal Vehicles,872
2005,Jun,Personal Vehicle Passengers,3488
2005,Jul,Bus Passengers,99
2005,Jul,Rail Containers Loaded,0
2005,Jul,Trucks,171
2005,Jul,Personal Vehicle Passengers,6136
2005,Jul,Truck Containers Loaded,139
2005,Jul,Pedestrians,0
2005,Jul,Buses,5
2005,Jul,Rail Containers Empty,0
2005,Jul,Trains,0
2005,Jul,Personal Vehicles,1534
2005,Jul,Train Passengers,0
2005,Jul,Truck Containers Empty,33
2005,Aug,Personal Vehicle Passengers,6621
2005,Aug,Personal Vehicles,2207
2005,Aug,Pedestrians,0
2005,Aug,Trains,0
2005,Aug,Truck Containers Empty,25
2005,Aug,Bus Passengers,0
2005,Aug,Trucks,362
2005,Aug,Rail Containers Loaded,0
2005,Aug,Buses,0
2005,Aug,Rail Containers Empty,0
2005,Aug,Train Passengers,0
2005,Aug,Truck Containers Loaded,337
2005,Sep,Trucks,368
2005,Sep,Bus Passengers,0
2005,Sep,Buses,0
2005,Sep,Trains,0
2005,Sep,Pedestrians,0
2005,Sep,Personal Vehicle Passengers,4377
2005,Sep,Truck Containers Loaded,349
2005,Sep,Rail Containers Loaded,0
2005,Sep,Personal Vehicles,1459
2005,Sep,Rail Containers Empty,0
2005,Sep,Train Passengers,0
2005,Sep,Truck Containers Empty,19
2005,Oct,Rail Containers Loaded,0
2005,Oct,Rail Containers Empty,0
2005,Oct,Truck Containers Loaded,148
2005,Oct,Train Passengers,0
2005,Oct,Personal Vehicle Passengers,2991
2005,Oct,Bus Passengers,0
2005,Oct,Truck Containers Empty,23
2005,Oct,Trucks,171
2005,Oct,Trains,0
2005,Oct,Buses,0
2005,Oct,Personal Vehicles,997
2005,Oct,Pedestrians,0
2005,Nov,Truck Containers Empty,16
2005,Nov,Personal Vehicle Passengers,2355
2005,Nov,Personal Vehicles,785
2005,Nov,Trains,0
2005,Nov,Rail Containers Loaded,0
2005,Nov,Buses,0
2005,Nov,Rail Containers Empty,0
2005,Nov,Pedestrians,0
2005,Nov,Train Passengers,0
2005,Nov,Bus Passengers,0
2005,Nov,Truck Containers Loaded,162
2005,Nov,Trucks,178
2005,Dec,Pedestrians,0
2005,Dec,Rail Containers Empty,0
2005,Dec,Trains,0
2005,Dec,Personal Vehicle Passengers,1938
2005,Dec,Train Passengers,0
2005,Dec,Truck Containers Empty,14
2005,Dec,Personal Vehicles,646
2005,Dec,Bus Passengers,109
2005,Dec,Truck Containers Loaded,132
2005,Dec,Rail Containers Loaded,0
2005,Dec,Buses,3
2005,Dec,Trucks,146
2006,Jan,Personal Vehicle Passengers,1839
2006,Jan,Trucks,163
2006,Jan,Pedestrians,0
2006,Jan,Bus Passengers,0
2006,Jan,Truck Containers Empty,15
2006,Jan,Train Passengers,0
2006,Jan,Trains,0
2006,Jan,Buses,0
2006,Jan,Rail Containers Empty,0
2006,Jan,Truck Containers Loaded,149
2006,Jan,Personal Vehicles,613
2006,Jan,Rail Containers Loaded,0
2006,Feb,Bus Passengers,36
2006,Feb,Trains,0
2006,Feb,Trucks,251
2006,Feb,Train Passengers,0
2006,Feb,Pedestrians,0
2006,Feb,Buses,2
2006,Feb,Truck Containers Empty,15
2006,Feb,Personal Vehicles,700
2006,Feb,Rail Containers Loaded,0
2006,Feb,Truck Containers Loaded,243
2006,Feb,Rail Containers Empty,0
2006,Feb,Personal Vehicle Passengers,2100
2006,Mar,Truck Containers Loaded,195
2006,Mar,Pedestrians,0
2006,Mar,Rail Containers Empty,0
2006,Mar,Personal Vehicle Passengers,1899
2006,Mar,Personal Vehicles,633
2006,Mar,Rail Containers Loaded,0
2006,Mar,Train Passengers,0
2006,Mar,Trains,0
2006,Mar,Buses,1
2006,Mar,Bus Passengers,14
2006,Mar,Truck Containers Empty,16
2006,Mar,Trucks,210
2006,Apr,Pedestrians,0
2006,Apr,Train Passengers,0
2006,Apr,Trucks,247
2006,Apr,Personal Vehicle Passengers,2706
2006,Apr,Personal Vehicles,902
2006,Apr,Rail Containers Loaded,0
2006,Apr,Trains,0
2006,Apr,Truck Containers Loaded,233
2006,Apr,Rail Containers Empty,0
2006,Apr,Buses,0
2006,Apr,Truck Containers Empty,15
2006,Apr,Bus Passengers,0
2006,May,Trains,0
2006,May,Personal Vehicles,1101
2006,May,Pedestrians,0
2006,May,Rail Containers Empty,0
2006,May,Bus Passengers,37
2006,May,Rail Containers Loaded,0
2006,May,Personal Vehicle Passengers,3303
2006,May,Truck Containers Empty,16
2006,May,Buses,1
2006,May,Truck Containers Loaded,156
2006,May,Train Passengers,0
2006,May,Trucks,173
2006,Jun,Trucks,84
2006,Jun,Pedestrians,0
2006,Jun,Truck Containers Empty,15
2006,Jun,Trains,0
2006,Jun,Truck Containers Loaded,69
2006,Jun,Buses,1
2006,Jun,Rail Containers Loaded,0
2006,Jun,Personal Vehicles,1200
2006,Jun,Train Passengers,0
2006,Jun,Bus Passengers,25
2006,Jun,Personal Vehicle Passengers,3600
2006,Jun,Rail Containers Empty,0
2006,Jul,Trucks,279
2006,Jul,Bus Passengers,21
2006,Jul,Rail Containers Empty,0
2006,Jul,Truck Containers Loaded,13
2006,Jul,Train Passengers,0
2006,Jul,Pedestrians,0
2006,Jul,Rail Containers Loaded,0
2006,Jul,Personal Vehicles,1965
2006,Jul,Buses,2
2006,Jul,Trains,0
2006,Jul,Personal Vehicle Passengers,5895
2006,Jul,Truck Containers Empty,5
2006,Aug,Personal Vehicle Passengers,6969
2006,Aug,Pedestrians,0
2006,Aug,Trucks,360
2006,Aug,Trains,0
2006,Aug,Train Passengers,0
2006,Aug,Truck Containers Loaded,353
2006,Aug,Buses,0
2006,Aug,Rail Containers Loaded,0
2006,Aug,Bus Passengers,0
2006,Aug,Rail Containers Empty,0
2006,Aug,Personal Vehicles,2323
2006,Aug,Truck Containers Empty,16
2006,Sep,Train Passengers,0
2006,Sep,Truck Containers Empty,21
2006,Sep,Pedestrians,0
2006,Sep,Truck Containers Loaded,249
2006,Sep,Buses,1
2006,Sep,Trains,0
2006,Sep,Personal Vehicles,1656
2006,Sep,Bus Passengers,23
2006,Sep,Trucks,277
