year,month,crossingType,numberOfCrossings
1997,Feb,Personal Vehicle Passengers,10131
1997,Feb,Trucks,152
1997,Feb,Trains,0
1997,Feb,Pedestrians,12
1997,Feb,Rail Containers Empty,0
1997,Feb,Bus Passengers,0
1997,Feb,Personal Vehicles,3377
1997,Feb,Rail Containers Loaded,0
1997,Mar,Personal Vehicle Passengers,7307
1997,Mar,Buses,1
1997,Mar,Rail Containers Empty,0
1997,Mar,Train Passengers,0
1997,Mar,Truck Containers Loaded,74
1997,Mar,Truck Containers Empty,22
1997,Mar,Pedestrians,4
1997,Mar,Rail Containers Loaded,0
1997,Mar,Trucks,102
1997,Mar,Personal Vehicles,2434
1997,Mar,Bus Passengers,42
1997,Mar,Trains,0
1997,Apr,Personal Vehicle Passengers,10487
1997,Apr,Rail Containers Loaded,0
1997,Apr,Trucks,161
1997,Apr,Personal Vehicles,3494
1997,Apr,Truck Containers Empty,34
1997,Apr,Pedestrians,0
1997,Apr,Buses,0
1997,Apr,Rail Containers Empty,0
1997,Apr,Trains,0
1997,Apr,Train Passengers,0
1997,Apr,Truck Containers Loaded,142
1997,Apr,Bus Passengers,0
1997,May,Buses,21
1997,May,Truck Containers Loaded,182
1997,May,Trucks,206
1997,May,Rail Containers Loaded,0
1997,May,Pedestrians,8
1997,May,Truck Containers Empty,46
1997,May,Bus Passengers,665
1997,May,Personal Vehicles,6303
1997,May,Personal Vehicle Passengers,19472
1997,May,Trains,0
1997,May,Rail Containers Empty,0
1997,May,Train Passengers,0
1997,Jun,Train Passengers,0
1997,Jun,Truck Containers Loaded,122
1997,Jun,Trains,0
1997,Jun,Personal Vehicles,14589
1997,Jun,Trucks,174
1997,Jun,Personal Vehicle Passengers,43767
1997,Jun,Bus Passengers,1724
1997,Jun,Pedestrians,85
1997,Jun,Truck Containers Empty,50
1997,Jun,Rail Containers Empty,0
1997,Jun,Rail Containers Loaded,0
1997,Jun,Buses,58
1997,Jul,Truck Containers Empty,67
1997,Jul,Personal Vehicle Passengers,101236
1997,Jul,Trucks,181
1997,Jul,Buses,195
1997,Jul,Rail Containers Loaded,0
1997,Jul,Rail Containers Empty,0
1997,Jul,Personal Vehicles,34578
1997,Jul,Bus Passengers,4277
1997,Jul,Trains,0
1997,Jul,Train Passengers,0
1997,Jul,Truck Containers Loaded,118
1997,Jul,Pedestrians,85
1997,Aug,Personal Vehicles,40515
1997,Aug,Pedestrians,545
1997,Aug,Trucks,238
1997,Aug,Truck Containers Empty,44
1997,Aug,Rail Containers Empty,0
1997,Aug,Trains,0
1997,Aug,Buses,164
1997,Aug,Bus Passengers,3940
1997,Aug,Personal Vehicle Passengers,121542
1997,Aug,Train Passengers,0
1997,Aug,Truck Containers Loaded,179
1997,Aug,Rail Containers Loaded,0
1997,Sep,Train Passengers,0
1997,Sep,Rail Containers Loaded,0
1997,Sep,Pedestrians,279
1997,Sep,Personal Vehicles,23214
1997,Sep,Rail Containers Empty,0
1997,Sep,Truck Containers Empty,21
1997,Sep,Buses,103
1997,Sep,Personal Vehicle Passengers,69486
1997,Sep,Trains,0
1997,Sep,Truck Containers Loaded,352
1997,Sep,Bus Passengers,2591
1997,Sep,Trucks,366
1997,Oct,Trucks,207
1997,Oct,Truck Containers Empty,45
1997,Oct,Bus Passengers,82
1997,Oct,Rail Containers Empty,0
1997,Oct,Train Passengers,0
1997,Oct,Pedestrians,4
1997,Oct,Personal Vehicle Passengers,19524
1997,Oct,Trains,0
1997,Oct,Truck Containers Loaded,158
1997,Oct,Personal Vehicles,6508
1997,Oct,Rail Containers Loaded,0
1997,Oct,Buses,3
1997,Nov,Trucks,205
1997,Nov,Personal Vehicle Passengers,9441
1997,Nov,Personal Vehicles,3147
1997,Nov,Rail Containers Loaded,0
1997,Nov,Truck Containers Empty,43
1997,Nov,Train Passengers,0
1997,Nov,Truck Containers Loaded,120
1997,Nov,Rail Containers Empty,0
1997,Nov,Trains,0
1997,Nov,Buses,1
1997,Nov,Pedestrians,2
1997,Nov,Bus Passengers,44
1997,Dec,Rail Containers Empty,0
1997,Dec,Personal Vehicles,2841
1997,Dec,Trains,0
1997,Dec,Personal Vehicle Passengers,8523
1997,Dec,Truck Containers Loaded,142
1997,Dec,Pedestrians,0
1997,Dec,Train Passengers,0
1997,Dec,Rail Containers Loaded,0
1997,Dec,Truck Containers Empty,30
1997,Dec,Trucks,151
1997,Dec,Buses,0
1997,Dec,Bus Passengers,0
1998,Jan,Bus Passengers,15
1998,Jan,Rail Containers Loaded,0
1998,Jan,Personal Vehicles,2769
1998,Jan,Trucks,111
1998,Jan,Buses,1
1998,Jan,Truck Containers Empty,16
1998,Jan,Personal Vehicle Passengers,8307
1998,Jan,Train Passengers,0
1998,Jan,Pedestrians,0
1998,Jan,Rail Containers Empty,0
1998,Jan,Truck Containers Loaded,96
1998,Jan,Trains,0
1998,Feb,Truck Containers Loaded,89
1998,Feb,Personal Vehicles,3369
1998,Feb,Personal Vehicle Passengers,10107
1998,Feb,Truck Containers Empty,23
1998,Feb,Bus Passengers,8
1998,Feb,Rail Containers Empty,0
1998,Feb,Trains,0
1998,Feb,Rail Containers Loaded,0
1998,Feb,Train Passengers,0
1998,Feb,Trucks,128
1998,Feb,Buses,1
1998,Feb,Pedestrians,1
1998,Mar,Personal Vehicles,2794
1998,Mar,Trains,0
1998,Mar,Buses,1
1998,Mar,Truck Containers Loaded,93
1998,Mar,Trucks,101
1998,Mar,Personal Vehicle Passengers,8382
1998,Mar,Rail Containers Empty,0
1998,Mar,Pedestrians,1
1998,Mar,Rail Containers Loaded,0
1998,Mar,Truck Containers Empty,19
1998,Mar,Train Passengers,0
1998,Mar,Bus Passengers,9
1998,Apr,Rail Containers Loaded,0
1998,Apr,Personal Vehicles,3995
1998,Apr,Buses,1
1998,Apr,Bus Passengers,236
1998,Apr,Trains,0
