year,month,crossingType,numberOfCrossings
1996,Jan,Trains,0
1996,Jan,Rail Containers Empty,0
1996,Jan,Train Passengers,0
1996,Jan,Buses,0
1996,Jan,Truck Containers Empty,20
1996,Jan,Pedestrians,11
1996,Jan,Personal Vehicles,1674
1996,Jan,Truck Containers Loaded,31
1996,Jan,Rail Containers Loaded,0
1996,Jan,Trucks,67
1996,Jan,Bus Passengers,0
1996,Jan,Personal Vehicle Passengers,5509
1996,Feb,Truck Containers Loaded,31
1996,Feb,Personal Vehicles,1520
1996,Feb,Truck Containers Empty,17
1996,Feb,Pedestrians,19
1996,Feb,Rail Containers Loaded,0
1996,Feb,Trains,0
1996,Feb,Bus Passengers,0
1996,Feb,Train Passengers,0
1996,Feb,Rail Containers Empty,0
1996,Feb,Trucks,42
1996,Feb,Personal Vehicle Passengers,5001
1996,Feb,Buses,0
1996,Mar,Trains,0
1996,Mar,Train Passengers,0
1996,Mar,Truck Containers Loaded,27
1996,Mar,Rail Containers Empty,0
1996,Mar,Trucks,33
1996,Mar,Bus Passengers,0
1996,Mar,Pedestrians,36
1996,Mar,Truck Containers Empty,15
1996,Mar,Personal Vehicle Passengers,5846
1996,Mar,Personal Vehicles,1777
1996,Mar,Buses,0
1996,Mar,Rail Containers Loaded,0
1996,Apr,Pedestrians,17
1996,Apr,Personal Vehicle Passengers,6744
1996,Apr,Train Passengers,0
1996,Apr,Buses,0
1996,Apr,Truck Containers Empty,12
1996,Apr,Trains,0
1996,Apr,Truck Containers Loaded,38
1996,Apr,Bus Passengers,0
1996,Apr,Rail Containers Empty,0
1996,Apr,Rail Containers Loaded,0
1996,Apr,Personal Vehicles,2050
1996,Apr,Trucks,54
1996,May,Personal Vehicles,1830
1996,May,Trucks,44
1996,May,Personal Vehicle Passengers,6021
1996,May,Rail Containers Loaded,0
1996,May,Pedestrians,17
1996,May,Bus Passengers,0
1996,May,Truck Containers Loaded,36
1996,May,Train Passengers,0
1996,May,Rail Containers Empty,0
1996,May,Truck Containers Empty,10
1996,May,Trains,0
1996,May,Buses,0
1996,Jun,Buses,2
1996,Jun,Rail Containers Loaded,0
1996,Jun,Truck Containers Empty,21
1996,Jun,Personal Vehicles,2130
1996,Jun,Personal Vehicle Passengers,7007
1996,Jun,Rail Containers Empty,0
1996,Jun,Trains,0
1996,Jun,Truck Containers Loaded,48
1996,Jun,Train Passengers,0
1996,Jun,Bus Passengers,95
1996,Jun,Trucks,78
1996,Jun,Pedestrians,20
1996,Jul,Train Passengers,0
1996,Jul,Trains,0
1996,Jul,Truck Containers Loaded,41
1996,Jul,Rail Containers Empty,0
1996,Jul,Personal Vehicles,2352
1996,Jul,Personal Vehicle Passengers,7738
1996,Jul,Rail Containers Loaded,0
1996,Jul,Trucks,57
1996,Jul,Buses,3
1996,Jul,Truck Containers Empty,9
1996,Jul,Bus Passengers,94
1996,Jul,Pedestrians,21
1996,Aug,Truck Containers Empty,9
1996,Aug,Rail Containers Empty,0
1996,Aug,Bus Passengers,13
1996,Aug,Buses,1
1996,Aug,Pedestrians,9
1996,Aug,Trains,0
1996,Aug,Trucks,71
1996,Aug,Train Passengers,0
1996,Aug,Truck Containers Loaded,57
1996,Aug,Rail Containers Loaded,0
1996,Aug,Personal Vehicle Passengers,7073
1996,Aug,Personal Vehicles,2150
1996,Sep,Pedestrians,17
1996,Sep,Rail Containers Empty,0
1996,Sep,Trains,0
1996,Sep,Buses,1
1996,Sep,Personal Vehicles,2165
1996,Sep,Rail Containers Loaded,0
1996,Sep,Truck Containers Empty,7
1996,Sep,Personal Vehicle Passengers,7059
1996,Sep,Bus Passengers,49
1996,Sep,Trucks,80
1996,Sep,Train Passengers,0
1996,Sep,Truck Containers Loaded,42
1996,Oct,Rail Containers Loaded,0
1996,Oct,Rail Containers Empty,0
1996,Oct,Train Passengers,0
1996,Oct,Truck Containers Empty,9
1996,Oct,Trucks,55
1996,Oct,Bus Passengers,12
1996,Oct,Personal Vehicle Passengers,4738
1996,Oct,Pedestrians,8
1996,Oct,Trains,0
1996,Oct,Truck Containers Loaded,33
1996,Oct,Personal Vehicles,1440
1996,Oct,Buses,1
1996,Nov,Buses,1
1996,Nov,Pedestrians,13
1996,Nov,Truck Containers Loaded,48
1996,Nov,Trucks,60
1996,Nov,Rail Containers Empty,0
1996,Nov,Train Passengers,0
1996,Nov,Rail Containers Loaded,0
1996,Nov,Truck Containers Empty,19
1996,Nov,Trains,0
1996,Nov,Personal Vehicles,1373
1996,Nov,Bus Passengers,48
1996,Nov,Personal Vehicle Passengers,4517
1996,Dec,Buses,1
1996,Dec,Truck Containers Empty,17
1996,Dec,Personal Vehicles,1384
1996,Dec,Rail Containers Loaded,0
1996,Dec,Pedestrians,27
1996,Dec,Personal Vehicle Passengers,4554
1996,Dec,Trains,0
1996,Dec,Bus Passengers,25
1996,Dec,Truck Containers Loaded,39
1996,Dec,Train Passengers,0
1996,Dec,Trucks,56
1996,Dec,Rail Containers Empty,0
1997,Jan,Bus Passengers,40
1997,Jan,Truck Containers Loaded,46
1997,Jan,Trains,0
1997,Jan,Truck Containers Empty,10
1997,Jan,Buses,1
1997,Jan,Train Passengers,0
1997,Jan,Pedestrians,34
1997,Jan,Rail Containers Loaded,0
1997,Jan,Personal Vehicle Passengers,3455
1997,Jan,Trucks,59
1997,Jan,Personal Vehicles,1050
1997,Jan,Rail Containers Empty,0
1997,Feb,Rail Containers Loaded,0
1997,Feb,Truck Containers Loaded,34
1997,Feb,Rail Containers Empty,0
1997,Feb,Trucks,41
1997,Feb,Bus Passengers,48
1997,Feb,Trains,0
1997,Feb,Train Passengers,0
1997,Feb,Pedestrians,44
1997,Feb,Personal Vehicle Passengers,4297
1997,Feb,Personal Vehicles,1306
1997,Feb,Buses,2
1997,Feb,Truck Containers Empty,5
1997,Mar,Buses,2
1997,Mar,Trains,0
1997,Mar,Trucks,40
1997,Mar,Bus Passengers,60
1997,Mar,Train Passengers,0
1997,Mar,Truck Containers Loaded,25
1997,Mar,Personal Vehicle Passengers,4727
1997,Mar,Personal Vehicles,1437
1997,Mar,Truck Containers Empty,15
1997,Mar,Pedestrians,21
1997,Mar,Rail Containers Loaded,0
1997,Mar,Rail Containers Empty,0
1997,Apr,Trucks,54
1997,Apr,Rail Containers Empty,0
1997,Apr,Trains,0
1997,Apr,Buses,1
1997,Apr,Personal Vehicle Passengers,4267
1997,Apr,Bus Passengers,12
1997,Apr,Truck Containers Empty,10
1997,Apr,Rail Containers Loaded,0
1997,Apr,Personal Vehicles,1297
1997,Apr,Train Passengers,0
1997,Apr,Pedestrians,27
1997,Apr,Truck Containers Loaded,43
1997,May,Bus Passengers,77
1997,May,Buses,2
1997,May,Personal Vehicles,1744
1997,May,Rail Containers Loaded,0
1997,May,Trucks,76
1997,May,Rail Containers Empty,0
1997,May,Truck Containers Empty,12
1997,May,Train Passengers,0
1997,May,Personal Vehicle Passengers,5738
1997,May,Pedestrians,19
1997,May,Trains,0
1997,May,Truck Containers Loaded,52
1997,Jun,Personal Vehicle Passengers,6146
1997,Jun,Rail Containers Loaded,0
1997,Jun,Pedestrians,21
1997,Jun,Trains,0
1997,Jun,Trucks,78
1997,Jun,Personal Vehicles,1868
1997,Jun,Truck Containers Loaded,58
1997,Jun,Truck Containers Empty,23
1997,Jun,Bus Passengers,258
1997,Jun,Rail Containers Empty,0
1997,Jun,Train Passengers,0
1997,Jun,Buses,6
1997,Jul,Personal Vehicle Passengers,7166
1997,Jul,Truck Containers Loaded,38
1997,Jul,Personal Vehicles,2178
1997,Jul,Trains,0
1997,Jul,Bus Passengers,1
1997,Jul,Buses,1
1997,Jul,Rail Containers Loaded,0
1997,Jul,Rail Containers Empty,0
1997,Jul,Pedestrians,32
1997,Jul,Truck Containers Empty,12
1997,Jul,Trucks,62
1997,Jul,Train Passengers,0
1997,Aug,Buses,4
1997,Aug,Truck Containers Loaded,35
1997,Aug,Train Passengers,0
1997,Aug,Bus Passengers,102
1997,Aug,Personal Vehicles,2119
1997,Aug,Trucks,54
1997,Aug,Personal Vehicle Passengers,6971
1997,Aug,Rail Containers Empty,0
1997,Aug,Trains,0
1997,Aug,Pedestrians,29
1997,Aug,Rail Containers Loaded,0
1997,Aug,Truck Containers Empty,24
1997,Sep,Rail Containers Loaded,0
1997,Sep,Personal Vehicles,1796
1997,Sep,Trains,0
1997,Sep,Buses,4
1997,Sep,Personal Vehicle Passengers,5909
1997,Sep,Truck Containers Empty,10
1997,Sep,Trucks,42
1997,Sep,Truck Containers Loaded,55
1997,Sep,Train Passengers,0
1997,Sep,Bus Passengers,78
1997,Sep,Pedestrians,24
1997,Sep,Rail Containers Empty,0
1997,Oct,Truck Containers Empty,10
1997,Oct,Personal Vehicles,1492
1997,Oct,Train Passengers,0
1997,Oct,Pedestrians,30
1997,Oct,Trucks,152
1997,Oct,Trains,0
1997,Oct,Buses,2
1997,Oct,Rail Containers Loaded,0
1997,Oct,Bus Passengers,104
1997,Oct,Truck Containers Loaded,124
1997,Oct,Rail Containers Empty,0
1997,Oct,Personal Vehicle Passengers,4501
1997,Nov,Pedestrians,26
1997,Nov,Rail Containers Empty,0
1997,Nov,Truck Containers Loaded,115
1997,Nov,Rail Containers Loaded,0
1997,Nov,Truck Containers Empty,0
1997,Nov,Buses,2
1997,Nov,Bus Passengers,40
1997,Nov,Trucks,115
1997,Nov,Trains,0
1997,Nov,Personal Vehicle Passengers,4853
1997,Nov,Train Passengers,0
1997,Nov,Personal Vehicles,1475
1997,Dec,Train Passengers,0
1997,Dec,Personal Vehicles,1687
1997,Dec,Truck Containers Empty,4
1997,Dec,Truck Containers Loaded,56
1997,Dec,Bus Passengers,69
1997,Dec,Personal Vehicle Passengers,5550
1997,Dec,Rail Containers Loaded,0
1997,Dec,Rail Containers Empty,0
1997,Dec,Pedestrians,20
1997,Dec,Trains,0
1997,Dec,Buses,2
1997,Dec,Trucks,53
1998,Jan,Rail Containers Loaded,0
1998,Jan,Rail Containers Empty,0
1998,Jan,Truck Containers Loaded,182
1998,Jan,Pedestrians,17
1998,Jan,Buses,0
1998,Jan,Personal Vehicle Passengers,4247
1998,Jan,Bus Passengers,0
1998,Jan,Train Passengers,0
1998,Jan,Truck Containers Empty,0
1998,Jan,Trucks,173
1998,Jan,Trains,0
1998,Jan,Personal Vehicles,1291
1998,Feb,Pedestrians,32
1998,Feb,Trains,0
1998,Feb,Truck Containers Loaded,127
1998,Feb,Train Passengers,0
1998,Feb,Rail Containers Empty,0
1998,Feb,Bus Passengers,40
1998,Feb,Buses,1
1998,Feb,Trucks,129
1998,Feb,Rail Containers Loaded,0
1998,Feb,Personal Vehicle Passengers,4953
1998,Feb,Truck Containers Empty,0
1998,Feb,Personal Vehicles,1509
1998,Mar,Truck Containers Loaded,86
1998,Mar,Train Passengers,0
1998,Mar,Buses,2
1998,Mar,Personal Vehicle Passengers,4639
1998,Mar,Truck Containers Empty,0
1998,Mar,Trucks,84
1998,Mar,Pedestrians,27
1998,Mar,Rail Containers Loaded,0
1998,Mar,Trains,0
1998,Mar,Bus Passengers,99
1998,Mar,Rail Containers Empty,0
1998,Mar,Personal Vehicles,1410
1998,Apr,Pedestrians,18
1998,Apr,Train Passengers,0
1998,Apr,Personal Vehicle Passengers,5527
1998,Apr,Rail Containers Empty,0
1998,Apr,Bus Passengers,0
1998,Apr,Trains,0
1998,Apr,Rail Containers Loaded,0
1998,Apr,Truck Containers Empty,0
1998,Apr,Personal Vehicles,1680
1998,Apr,Trucks,129
1998,Apr,Buses,0
1998,Apr,Truck Containers Loaded,117
1998,May,Rail Containers Empty,0
1998,May,Truck Containers Empty,3
1998,May,Buses,2
1998,May,Rail Containers Loaded,0
1998,May,Bus Passengers,70
1998,May,Truck Containers Loaded,140
1998,May,Pedestrians,18
1998,May,Trucks,140
1998,May,Train Passengers,0
1998,May,Trains,0
1998,May,Personal Vehicle Passengers,6257
1998,May,Personal Vehicles,1902
1998,Jun,Truck Containers Empty,0
1998,Jun,Personal Vehicle Passengers,6755
1998,Jun,Rail Containers Loaded,0
1998,Jun,Bus Passengers,73
1998,Jun,Truck Containers Loaded,50
1998,Jun,Pedestrians,11
1998,Jun,Buses,3
1998,Jun,Trains,0
1998,Jun,Trucks,50
1998,Jun,Rail Containers Empty,0
1998,Jun,Personal Vehicles,2053
1998,Jun,Train Passengers,0
1998,Jul,Personal Vehicle Passengers,9274
1998,Jul,Bus Passengers,52
1998,Jul,Truck Containers Empty,0
