year,month,crossingType,numberOfCrossings
1997,Feb,Truck Containers Empty,2
1997,Feb,Truck Containers Loaded,45
1997,Feb,Trains,0
1997,Feb,Rail Containers Empty,0
1997,Feb,Pedestrians,0
1997,Feb,Personal Vehicle Passengers,1624
1997,Feb,Trucks,46
1997,Mar,Pedestrians,0
1997,Mar,Rail Containers Loaded,0
1997,Mar,Truck Containers Empty,3
1997,Mar,Truck Containers Loaded,69
1997,Mar,Train Passengers,0
1997,Mar,Personal Vehicle Passengers,1191
1997,Mar,Buses,3
1997,Mar,Trucks,57
1997,Mar,Rail Containers Empty,0
1997,Mar,Personal Vehicles,473
1997,Mar,Bus Passengers,103
1997,Mar,Trains,0
1997,Apr,Pedestrians,0
1997,Apr,Buses,5
1997,Apr,Truck Containers Empty,1
1997,Apr,Rail Containers Loaded,0
1997,Apr,Trucks,69
1997,Apr,Rail Containers Empty,0
1997,Apr,Personal Vehicles,524
1997,Apr,Personal Vehicle Passengers,1278
1997,Apr,Truck Containers Loaded,61
1997,Apr,Trains,0
1997,Apr,Bus Passengers,207
1997,Apr,Train Passengers,0
1997,May,Truck Containers Loaded,131
1997,May,Truck Containers Empty,14
1997,May,Trains,0
1997,May,Train Passengers,0
1997,May,Bus Passengers,48
1997,May,Personal Vehicles,660
1997,May,Rail Containers Loaded,0
1997,May,Trucks,146
1997,May,Rail Containers Empty,0
1997,May,Pedestrians,0
1997,May,Personal Vehicle Passengers,1793
1997,May,Buses,1
1997,Jun,Train Passengers,0
1997,Jun,Trucks,46
1997,Jun,Personal Vehicles,836
1997,Jun,Rail Containers Loaded,0
1997,Jun,Truck Containers Loaded,38
1997,Jun,Personal Vehicle Passengers,2060
1997,Jun,Buses,1
1997,Jun,Trains,0
1997,Jun,Pedestrians,0
1997,Jun,Truck Containers Empty,7
1997,Jun,Rail Containers Empty,0
1997,Jun,Bus Passengers,43
1997,Jul,Pedestrians,0
1997,Jul,Buses,0
1997,Jul,Rail Containers Empty,0
1997,Jul,Personal Vehicles,986
1997,Jul,Truck Containers Empty,2
1997,Jul,Personal Vehicle Passengers,2632
1997,Jul,Rail Containers Loaded,0
1997,Jul,Truck Containers Loaded,72
1997,Jul,Train Passengers,0
1997,Jul,Trains,0
1997,Jul,Bus Passengers,0
1997,Jul,Trucks,76
1997,Aug,Trains,0
1997,Aug,Truck Containers Loaded,48
1997,Aug,Bus Passengers,0
1997,Aug,Rail Containers Loaded,0
1997,Aug,Truck Containers Empty,6
1997,Aug,Personal Vehicle Passengers,2171
1997,Aug,Rail Containers Empty,0
1997,Aug,Pedestrians,0
1997,Aug,Train Passengers,0
1997,Aug,Personal Vehicles,850
1997,Aug,Buses,0
1997,Aug,Trucks,55
1997,Sep,Bus Passengers,29
1997,Sep,Pedestrians,0
1997,Sep,Rail Containers Empty,0
1997,Sep,Train Passengers,0
1997,Sep,Personal Vehicles,685
1997,Sep,Rail Containers Loaded,0
1997,Sep,Truck Containers Loaded,37
1997,Sep,Personal Vehicle Passengers,1503
1997,Sep,Trains,0
1997,Sep,Truck Containers Empty,10
1997,Sep,Trucks,51
1997,Sep,Buses,1
1997,Oct,Rail Containers Empty,0
1997,Oct,Truck Containers Loaded,46
1997,Oct,Bus Passengers,210
1997,Oct,Truck Containers Empty,2
1997,Oct,Personal Vehicles,743
1997,Oct,Trains,0
1997,Oct,Personal Vehicle Passengers,1696
1997,Oct,Train Passengers,0
1997,Oct,Rail Containers Loaded,0
1997,Oct,Buses,6
1997,Oct,Trucks,48
1997,Oct,Pedestrians,0
1997,Nov,Trucks,30
1997,Nov,Train Passengers,0
1997,Nov,Truck Containers Empty,1
1997,Nov,Personal Vehicles,673
1997,Nov,Truck Containers Loaded,28
1997,Nov,Bus Passengers,26
1997,Nov,Buses,1
1997,Nov,Personal Vehicle Passengers,1568
1997,Nov,Pedestrians,0
1997,Nov,Trains,0
1997,Nov,Rail Containers Loaded,0
1997,Nov,Rail Containers Empty,0
1997,Dec,Personal Vehicles,701
1997,Dec,Rail Containers Loaded,0
1997,Dec,Pedestrians,0
1997,Dec,Personal Vehicle Passengers,1673
1997,Dec,Rail Containers Empty,0
1997,Dec,Bus Passengers,32
1997,Dec,Buses,1
1997,Dec,Trucks,39
1997,Dec,Truck Containers Loaded,37
1997,Dec,Trains,0
1997,Dec,Train Passengers,0
1997,Dec,Truck Containers Empty,2
1998,Jan,Trains,0
1998,Jan,Rail Containers Loaded,0
1998,Jan,Rail Containers Empty,0
1998,Jan,Truck Containers Empty,0
1998,Jan,Bus Passengers,113
1998,Jan,Pedestrians,0
1998,Jan,Trucks,48
1998,Jan,Truck Containers Loaded,49
1998,Jan,Train Passengers,0
1998,Jan,Buses,3
1998,Jan,Personal Vehicle Passengers,1477
1998,Jan,Personal Vehicles,621
1998,Feb,Trucks,42
1998,Feb,Train Passengers,0
1998,Feb,Personal Vehicle Passengers,1415
1998,Feb,Bus Passengers,221
1998,Feb,Pedestrians,0
1998,Feb,Trains,0
1998,Feb,Rail Containers Loaded,0
1998,Feb,Buses,5
1998,Feb,Rail Containers Empty,0
1998,Feb,Truck Containers Loaded,40
1998,Feb,Truck Containers Empty,1
1998,Feb,Personal Vehicles,566
1998,Mar,Rail Containers Empty,0
1998,Mar,Bus Passengers,132
1998,Mar,Truck Containers Empty,1
1998,Mar,Personal Vehicles,426
1998,Mar,Pedestrians,0
1998,Mar,Truck Containers Loaded,27
1998,Mar,Trucks,28
1998,Mar,Rail Containers Loaded,0
1998,Mar,Trains,0
1998,Mar,Buses,4
1998,Mar,Train Passengers,0
1998,Mar,Personal Vehicle Passengers,1001
1998,Apr,Truck Containers Empty,7
1998,Apr,Truck Containers Loaded,43
1998,Apr,Rail Containers Empty,0
1998,Apr,Trucks,48
1998,Apr,Buses,1
1998,Apr,Bus Passengers,48
1998,Apr,Train Passengers,0
1998,Apr,Pedestrians,0
1998,Apr,Personal Vehicles,518
1998,Apr,Personal Vehicle Passengers,1261
1998,Apr,Trains,0
1998,Apr,Rail Containers Loaded,0
1998,May,Personal Vehicle Passengers,1261
1998,May,Pedestrians,0
1998,May,Buses,0
1998,May,Rail Containers Loaded,0
1998,May,Truck Containers Loaded,24
1998,May,Trucks,35
1998,May,Bus Passengers,0
1998,May,Truck Containers Empty,11
1998,May,Trains,0
1998,May,Train Passengers,0
1998,May,Rail Containers Empty,0
1998,May,Personal Vehicles,563
1998,Jun,Personal Vehicles,660
1998,Jun,Truck Containers Empty,8
1998,Jun,Train Passengers,0
1998,Jun,Rail Containers Empty,0
1998,Jun,Buses,2
1998,Jun,Personal Vehicle Passengers,1698
1998,Jun,Pedestrians,0
1998,Jun,Rail Containers Loaded,0
1998,Jun,Truck Containers Loaded,29
1998,Jun,Trains,0
1998,Jun,Bus Passengers,57
1998,Jun,Trucks,37
1998,Jul,Trucks,25
1998,Jul,Train Passengers,0
1998,Jul,Truck Containers Empty,0
1998,Jul,Trains,0
