year,month,crossingType,numberOfCrossings
1997,Feb,Truck Containers Empty,1017
1997,Feb,Bus Passengers,1638
1997,Feb,Personal Vehicle Passengers,55604
1997,Feb,Rail Containers Empty,381
1997,Feb,Train Passengers,112
1997,Feb,Rail Containers Loaded,1124
1997,Feb,Trains,28
1997,Feb,Personal Vehicles,16150
1997,Feb,Buses,71
1997,Feb,Trucks,8797
1997,Feb,Truck Containers Loaded,5751
1997,Mar,Truck Containers Loaded,8369
1997,Mar,Personal Vehicles,13491
1997,Mar,Personal Vehicle Passengers,45926
1997,Mar,Truck Containers Empty,1421
1997,Mar,Buses,61
1997,Mar,Rail Containers Empty,620
1997,Mar,Pedestrians,889
1997,Mar,Trains,29
1997,Mar,Trucks,8699
1997,Mar,Bus Passengers,1308
1997,Mar,Train Passengers,116
1997,Mar,Rail Containers Loaded,2128
1997,Apr,Rail Containers Loaded,2023
1997,Apr,Personal Vehicle Passengers,56627
1997,Apr,Trucks,10903
1997,Apr,Buses,73
1997,Apr,Train Passengers,132
1997,Apr,Rail Containers Empty,511
1997,Apr,Personal Vehicles,16560
1997,Apr,Bus Passengers,1519
1997,Apr,Truck Containers Loaded,9938
1997,Apr,Pedestrians,1234
1997,Apr,Truck Containers Empty,1386
1997,Apr,Trains,33
1997,May,Personal Vehicles,16358
1997,May,Bus Passengers,834
1997,May,Truck Containers Empty,1318
1997,May,Rail Containers Empty,653
1997,May,Pedestrians,1116
1997,May,Buses,52
1997,May,Trucks,10608
1997,May,Train Passengers,140
1997,May,Truck Containers Loaded,9598
1997,May,Rail Containers Loaded,1880
1997,May,Trains,35
1997,May,Personal Vehicle Passengers,56478
1997,Jun,Rail Containers Empty,718
1997,Jun,Rail Containers Loaded,1264
1997,Jun,Truck Containers Empty,1580
1997,Jun,Buses,65
1997,Jun,Trucks,9584
1997,Jun,Truck Containers Loaded,7863
1997,Jun,Pedestrians,1166
1997,Jun,Personal Vehicle Passengers,63498
1997,Jun,Train Passengers,90
1997,Jun,Trains,30
1997,Jun,Personal Vehicles,18465
1997,Jun,Bus Passengers,1144
1997,Jul,Truck Containers Empty,1380
1997,Jul,Rail Containers Empty,735
1997,Jul,Rail Containers Loaded,1377
1997,Jul,Buses,102
1997,Jul,Train Passengers,87
1997,Jul,Pedestrians,1265
1997,Jul,Personal Vehicle Passengers,87671
1997,Jul,Trains,29
1997,Jul,Bus Passengers,2533
1997,Jul,Personal Vehicles,25516
1997,Jul,Trucks,8890
1997,Jul,Truck Containers Loaded,8337
1997,Aug,Trains,27
1997,Aug,Truck Containers Loaded,7733
1997,Aug,Truck Containers Empty,1354
1997,Aug,Trucks,8491
1997,Aug,Rail Containers Empty,694
1997,Aug,Buses,80
1997,Aug,Rail Containers Loaded,1398
1997,Aug,Personal Vehicles,26323
1997,Aug,Bus Passengers,1721
1997,Aug,Personal Vehicle Passengers,89893
1997,Aug,Pedestrians,1386
1997,Aug,Train Passengers,81
1997,Sep,Trains,25
1997,Sep,Personal Vehicles,19551
1997,Sep,Train Passengers,75
1997,Sep,Rail Containers Loaded,1205
1997,Sep,Bus Passengers,1535
1997,Sep,Trucks,10211
1997,Sep,Rail Containers Empty,663
1997,Sep,Truck Containers Loaded,9164
1997,Sep,Buses,72
1997,Sep,Truck Containers Empty,1229
1997,Sep,Pedestrians,1213
1997,Sep,Personal Vehicle Passengers,66720
1997,Oct,Personal Vehicles,18294
1997,Oct,Trains,27
1997,Oct,Bus Passengers,1059
1997,Oct,Train Passengers,81
1997,Oct,Personal Vehicle Passengers,62221
1997,Oct,Rail Containers Loaded,1466
1997,Oct,Truck Containers Empty,1576
1997,Oct,Trucks,9438
1997,Oct,Pedestrians,1119
1997,Oct,Rail Containers Empty,690
1997,Oct,Truck Containers Loaded,8661
1997,Oct,Buses,54
1997,Nov,Train Passengers,87
1997,Nov,Pedestrians,1000
1997,Nov,Rail Containers Loaded,1567
1997,Nov,Truck Containers Loaded,8348
1997,Nov,Truck Containers Empty,1377
1997,Nov,Rail Containers Empty,752
1997,Nov,Trucks,9794
1997,Nov,Bus Passengers,1053
1997,Nov,Trains,29
1997,Nov,Buses,59
1997,Nov,Personal Vehicle Passengers,55231
1997,Nov,Personal Vehicles,16229
1997,Dec,Rail Containers Empty,569
1997,Dec,Personal Vehicles,14568
1997,Dec,Pedestrians,826
1997,Dec,Train Passengers,90
1997,Dec,Bus Passengers,791
1997,Dec,Buses,47
1997,Dec,Personal Vehicle Passengers,49919
1997,Dec,Rail Containers Loaded,1772
1997,Dec,Truck Containers Loaded,7380
1997,Dec,Trains,30
1997,Dec,Truck Containers Empty,1236
1997,Dec,Trucks,8458
1998,Jan,Trucks,8568
1998,Jan,Truck Containers Loaded,7936
1998,Jan,Buses,58
1998,Jan,Bus Passengers,2818
1998,Jan,Pedestrians,1006
1998,Jan,Personal Vehicle Passengers,57189
1998,Jan,Trains,28
1998,Jan,Train Passengers,84
1998,Jan,Personal Vehicles,16659
1998,Jan,Rail Containers Loaded,1508
1998,Jan,Truck Containers Empty,1610
1998,Jan,Rail Containers Empty,636
1998,Feb,Pedestrians,1123
1998,Feb,Trains,32
1998,Feb,Personal Vehicle Passengers,47887
1998,Feb,Truck Containers Empty,1282
1998,Feb,Bus Passengers,1290
1998,Feb,Trucks,9665
1998,Feb,Personal Vehicles,14100
1998,Feb,Truck Containers Loaded,7582
1998,Feb,Rail Containers Loaded,1557
1998,Feb,Train Passengers,96
1998,Feb,Rail Containers Empty,594
1998,Feb,Buses,65
1998,Mar,Personal Vehicle Passengers,41147
1998,Mar,Rail Containers Loaded,1454
1998,Mar,Train Passengers,84
1998,Mar,Truck Containers Loaded,9583
1998,Mar,Buses,57
1998,Mar,Personal Vehicles,12021
1998,Mar,Rail Containers Empty,507
1998,Mar,Bus Passengers,1086
1998,Mar,Pedestrians,887
1998,Mar,Trucks,9289
1998,Mar,Truck Containers Empty,1267
1998,Mar,Trains,28
1998,Apr,Truck Containers Empty,1346
1998,Apr,Personal Vehicle Passengers,52905
1998,Apr,Personal Vehicles,15382
1998,Apr,Trucks,12170
1998,Apr,Rail Containers Empty,397
1998,Apr,Trains,31
1998,Apr,Pedestrians,1066
1998,Apr,Rail Containers Loaded,1327
1998,Apr,Truck Containers Loaded,10855
1998,Apr,Buses,89
1998,Apr,Train Passengers,93
1998,Apr,Bus Passengers,1884
