month,crossingType,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Mar,Rail Containers Empty,,307,-113,-98,331,382,-414,-12,208,-65,24,137,111,-128,76,-242,1092,-34,-279,-696,22,-43,-225,-86,250,-397,183,-69,25,287
Mar,Rail Containers Loaded,,523,-674,225,-40,-107,125,34,1763,-1921,662,13,-326,-588,341,-239,126,83,-492,225,78,540,-121,986,-171,23,-374,693,1,-599
Mar,Total People,,-1443,-6505,7993,8822,-24365,19887,-9019,-9620,19180,12540,-23753,72,-9888,12970,-7550,3947,8778,-11968,-2327,890,-6202,332,-7508,-14378,-18734,16890,10932,3624,-9431
Mar,Total Vehicles,,1571,858,2078,2048,518,-771,-3350,3063,-2881,1483,4703,-2041,-5211,1005,1495,2454,1040,1746,-2206,-3598,3369,-2888,4079,826,1037,-187,-789,10961,1378
Mar,Train Passengers,,12,-32,3,30,-15,-12,6,12,-15,9,132,-36,-24,36,-18,24,6,-54,0,12,0,-15,12,33,-145,-65,,,
Mar,Trains,,3,-1,1,10,-5,-4,2,4,-5,3,5,-6,-4,6,-3,4,1,-9,0,2,1,-2,3,6,-6,1,5,-4,5
Mar,Truck Containers Empty,,42,-154,96,56,-49,383,-969,-127,240,125,27,503,-87,-1,533,934,9,276,-288,-1402,273,-81,430,208,328,-337,-687,667,-415
Mar,Truck Containers Loaded,,585,1214,1013,-43,178,-632,-759,694,-691,274,2266,-1666,-1903,-254,960,-289,326,1135,-512,-1374,2716,-1418,1223,422,200,257,-479,9385,1378
Mar,Trucks,,139,590,831,1722,124,-218,-1649,516,-462,430,2282,-663,-2479,825,500,583,647,1130,-936,-936,-107,-1040,1527,118,890,83,-252,887,716
Apr,Bus Passengers,,81,365,530,-535,-571,-93,-707,1274,-709,1069,-826,-106,-434,-86,-168,450,-597,162,-175,-167,201,-165,10,-241,,,92,-50,-38
Apr,Buses,,-16,16,-5,-8,-16,-2,2,3,-36,24,-19,-8,-2,-5,-5,79,-32,-42,-8,-2,7,-6,1,-9,,,1,-1,0
Apr,Pedestrians,,-141,-168,95,111,-817,-159,-36,-37,-69,16,-8,8,-33,91,-42,51,140,-162,50,-34,-27,30,-20,-176,153,19,-210,,
Apr,Personal Vehicle Passengers,,-918,-3722,2621,-3556,-19690,16123,-1079,-698,-2349,18199,-23518,-2185,-6125,10653,-6079,411,-2142,2648,-4138,-6945,2260,-1712,122,-24106,1804,15702,3207,-633,-4195
Apr,Personal Vehicles,,3,-1178,557,-1065,-201,-826,-326,1373,-793,2340,3036,-1091,-3064,5330,693,-1145,199,1357,-2787,-2076,-599,-3676,167,-11560,1234,7011,1322,-287,-2348
Apr,Rail Containers Empty,,252,-114,6,392,148,-152,62,91,-153,63,121,142,-143,142,-145,1423,-461,-370,-576,115,-155,-196,-89,4,-136,93,76,-2,138
